name,category,address,phone,website,rating,status,channel,replied,last_contacted,follow_up_date,instagram,notes
Morceau Architects,Architect,"Agarwal Bhavan, 18th Cross Rd, next to Vagus Super Speciality Hospital, Malleshwaram, Bengaluru, Karnataka 560055, India",+91 96633 42808,https://www.instagram.com/morceau_architects/,5.0,Contacted,,,2026-07-09,,,
DESIGNLINES Architects - Constructions -Interiors,Architect,"No 936/1 Belaku 3rd cross 16th main mico layout Begur, road, opposite st. Francis School, Bommanhalli, Bengaluru, Karnataka 560114, India",+91 97381 44845,http://designlinesarchitects.com/,4.8,Not Contacted,,,,,,
STAPATI Bangalore,Architect,"159, 1st cross Rd, Sarjapur - Marathahalli Rd, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034, India",+91 80 2550 3796,http://www.stapati.com/,4.8,Not Contacted,,,,,,
Gayathri And Namith Architects,Architect,"14, Temple Trees Row, S.T. Bed, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560047, India",+91 80 2553 5449,http://www.gnarchitects.com/,4.3,Not Contacted,,,,,,
Maya Architects,Architect,"2nd Floor, Metro Station, 59, 10th A Cross Rd, next to Rajajinagar, Mahalakshmi Puram, West of Chord Road, Stage 2, Nagapura, Bengaluru, Karnataka 560086, India",+91 88673 06292,http://mayaarchitects.com/,4.4,Not Contacted,,,,,,
4site architects,Architect,"201, 2nd, Apartment Sun Spurge, VP Deenadayalu Naidu Rd, Nandi Durga Road Extension, Jayamahal, Bengaluru, Karnataka 560046, India",+91 92066 66111,http://www.4sitearchitects.com/,4.8,Not Contacted,,,,,,
The Purple Ink Studio,Architect,"Ground Floor, 10/2, 13th Main Rd, opp. Shangri La, near Mt. Carmel College, Vasanth Nagar, Bengaluru, Karnataka 560001, India",+91 88672 65213,http://www.thepurpleinkstudio.com/,4.8,Not Contacted,,,,,,
DesignMatters,Architect,"3302, 12th A Main Rd, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru, Karnataka 560008, India",+91 98860 16711,https://www.designmattersarchitects.com/,4.9,Not Contacted,,,,,,
Creative Architects,Architect,"1st Floor, 11, 80 Feet Rd, above unilet Store, near Police Station, P&T Colony, RT Nagar, Bengaluru, Karnataka 560032, India",+91 97430 34378,http://www.creativearchitecte.com/,4.7,Not Contacted,,,,,,
Aaikya Architects,Architect,"1207, 2nd Floor, Vidyaranyapura Main Rd, BEL Layout 2nd Block, BEL Layout, Vidyaranyapura, Bengaluru, Karnataka 560097, India",+91 97423 51232,https://aaikyaarchitects.com/?utm_source=google_profile&utm_campaign=da360&utm_medium=mainlink,5.0,Contacted,,,2026-07-09,,,
CnT Architects,Architect,"No. 7, Palace Cross Rd, Chandavarkar Layout, Military Compound, Vasanth Nagar, Bengaluru, Karnataka 560020, India",+91 80 2334 1002,http://www.cnt.co.in/,4.4,Not Contacted,,,,,,
BuildX.Homes- End to End Home Construction Company,Builder,"5th Floor, Shilpa Sunshine, 5, 27th Cross Road, 7th Cross Rd, Jayanagar 3rd Block, Bengaluru, Karnataka 560011, India",+91 99026 72727,https://buildxhomes.in/,4.6,Not Contacted,,,,,,
Right Angle Developers - Residential Builders and Construction Company in Bangalore,Builder,"4, 7th Cross, 8th A Main Rd, LBS Nagar, HAL, Bengaluru, Karnataka 560017, India",+91 80889 00660,https://www.rightangledevelopers.co.in/,4.9,Not Contacted,,,,,,
VR masonry civil & renovation Bangalore,Builder,"803 1st floor, 8th Cross Rd, near chennammankkre, Manjunatha Colony, Thyagaraja Nagar, Banashankari, Bengaluru, Karnataka 560070, India",+91 91132 80297,http://sites.google.com/view/vrmansory,4.9,Not Contacted,,,,,,
Make It Build – Turnkey Contractors & construction company in Bangalore,Builder,"No 137, 14th Main, 30th Cross Rd, 2nd main, Banashankari, Bengaluru, Karnataka 560070, India",+91 78922 88775,http://www.makeitbuild.com/,4.8,Not Contacted,,,,,,
Sri Durga Constructions & Builders | Best Construction Company in Yalahanka | Building Contractors in Yelahanka,Builder,"No. 428, 19 HIG, 8th A Cross Rd, Sector A, Yelahanka Satellite Town, Yelahanka New Town, Bengaluru, Karnataka 560064, India",+91 91080 31151,https://durgaconstructions.com/,4.9,Not Contacted,,,,,,
BUILDACRE | Best Construction Company in Bangalore,Builder,"1st Floor, 325/5, JNR Road, above Subway, BEML Layout, 5th Stage, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098, India",+91 98866 33505,http://buildacre.in/,4.7,Not Contacted,,,,,,
Rohan Builders (India) Pvt. Ltd.,Builder,"3rd Floor, KP Icon, 1147, 12th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008, India",+91 80 2520 3522,http://www.rohanbuilders.com/,4.3,Not Contacted,,,,,,
Raise Zone Builders™,Builder,"742, 4th Main Road, 50 Feet Main Rd, Raghavendra Block, Srinagar, Banashankari, Bengaluru, Karnataka 560050, India",+91 96326 65374,https://raisezonebuilders.com/,4.8,Not Contacted,,,,,,
"Rainbow Constructions- Builders & Contractors ,Yelahanka, Bangalore",Builder,"Bagalur Main Rd, opposite Big market, Vinayak Nagar, Yelahanka, Bengaluru, Karnataka 560064, India",+91 96057 00348,,4.8,Not Contacted,,,,,,
Build Me A Home,Builder,"#173,1st Main Road, 6th Cross, Winnfield Garden, Dr.Shivaram Karanth Nagar, Bengaluru, Karnataka 560077, India",+91 98441 18199,https://buildmeahome.in/,4.7,Not Contacted,,,,,,
Aaryan Homes - Best Construction Company in North Bangalore,Builder,"65, 2nd Cross Rd, P&T Colony, RT Nagar, Bengaluru, Karnataka 560032, India",+91 98800 53505,http://aaryanhomes.in/,4.6,Not Contacted,,,,,,
Tycoon Constructions Pvt Ltd - Construction companies in Bangalore - leading construction companies in bangalore,Builder,"Smart plaze, Coles Rd, Cleveland Town, Frazer Town, Bengaluru, Karnataka 560005, India",+91 99725 48168,https://tycoonconstructions.in/,4.6,Not Contacted,,,,,,
Vinra Group - Construction | Interior | Real Estate,Builder,"No-34-1 First Floor Promenade, Junction, Meanee Ave Rd, Sindhi Colony, Sivanchetti Gardens, Bengaluru, Karnataka 560042, India",+91 88848 98765,https://vinragroup.com/,4.3,Not Contacted,,,,,,
Usha Builders and Infrastructure,Builder,"2nd Floor, Rainmakers workspace, Raheja Arcade, 201, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India",+91 70191 67562,http://www.ushabuilders.in/,4.9,Not Contacted,,,,,,
100Pillars - Turnkey Construction Company,Builder,"21, Muneshwara Temple Rd, 2nd Stage, Krishnappa Layout, Nagashetty Halli, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094, India",+91 74117 24473,https://100pillars.in/,4.4,Not Contacted,,,,,,
Riyaz's Golden Key Construction,Builder,"2nd Floor, G P Plaza, 83, Marathahalli Outer Ring Rd, Anand Nagar, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037, India",+91 99864 78787,https://riyazsgoldenkeyconstruction.com/,4.9,Not Contacted,,,,,,
Raaga Constructions,Builder,"493, 5th main, 15th Cross Road, near Indiranagar wood park, Indiranagar, Bengaluru, Karnataka 560038, India",+91 98809 08508,https://www.raagagroup.com/,4.8,Not Contacted,,,,,,
Uniquebuildss construction & Interiors company in bangalore,Builder,"234, 9th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102, India",+91 96060 92193,https://www.uniquebuildss.com/,4.5,Not Contacted,,,,,,
Feature Constructions,Builder,"No-19, 3rd Cross Rd, Raghuvanahalli, Bangalore City Municipal Corporation Layout, Bengaluru, Karnataka 560062, India",+91 70348 30451,http://www.featureconstructions.com/,4.8,Not Contacted,,,,,,
Rightcon Constructions Pvt Ltd - Premium Construction Contractors,Builder,"240, 32nd Cross Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560070, India",+91 96065 92959,http://rightcon.in/,4.8,Not Contacted,,,,,,
BUILDING CONTRACTOR & Building Demolition & Masonry Contractor & civil work & Building construction IN BANGALORE,Builder,"03, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100, India",+91 99648 80668,https://msbuilders.info/,4.8,Not Contacted,,,,,,
"Wall Nut Builders Bangalore, Best Construction Company, Interior Designing, Villa Construction",Builder,"maruthi Mandir, 23, 80 Feet Rd, 2nd Block, Govindaraja Nagar Ward, Anubhav Nagar, Vijayanagar, Bengaluru, Karnataka 560072, India",+91 99166 80792,http://wallnutbuilders.in/,4.8,Not Contacted,,,,,,
Smiti Construction,Builder,"1, Plot 1668/1 sy 45/4,Nagadevanahalli 1st Block, Sir M.V Layout, BDA, 1st Block, SMV Layout, Bengaluru, Karnataka 560110, India",+91 99455 78800,http://smiticonstruction.com/,4.9,Not Contacted,,,,,,
"BuildIT | House Construction Contractors, Construction Company, Top House Construction Companies In South Bangalore",Builder,"Nandadeepa, 1st Floor, No.#637, 1st Cross Manjunatha Layout, RBI Layout, JP Nagar 7th Phase, South Bangalore, Bengaluru, Karnataka 560078, India",+91 95358 73248,https://www.buildit.co.in/,4.7,Not Contacted,,,,,,
House Construct | Top House Construction Company Bangalore | Home Builders in Bangalore | Best Home Construction Company,Builder,"First Floor, 216, Service Road, 12 Block BDA layout, BDA Layout, 2nd Stage, Naagarabhaavi, Bengaluru, Karnataka 560072, India",+91 75575 57857,https://www.houseconstruct.in/,4.7,Not Contacted,,,,,,
Tectonics Constructions - Construction Companies Bangalore | Best Construction company Bangalore | Civil Contractors,Builder,"No#53, 3rd Cross Rd, near prathyangira devi temple Hillview garden, Jayanagar housing society layout, Subramanyapura, Bengaluru, Karnataka 560061, India",+91 78928 33188,https://www.tectonicsconstruction.com/,4.7,Not Contacted,,,,,,
Ordient Infra (Expert Architects & Construction Contractors),Builder,"3rd Floor, SVS Complex, above apollo tyres sepl, Bhattarahalli, Sannatammanahalli, Krishnarajapuram, Bengaluru, Karnataka 560049, India",+91 97318 47847,https://ordientinfra.com/,5.0,Contacted,,,2026-07-09,,,
"YES Design & Construction I Civil Construction Contractors, Residential Construction, Home Construction Rajajinagar Bengaluru",Builder,"446, 8th Main Rd, 16th Cross Rd, BEML Layout, Basaveshwar Nagar, Bengaluru, Karnataka 560079, India",+91 97394 60642,https://www.yesconstructions.com/,5.0,Contacted,,,2026-07-09,,,
OSR Dream Homes Construction Company,Builder,"First floor, 33, Hoodi Main Rd, opposite to Amma's bakery, Surya Layout, Ayyappa Nagar, Krishnarajapuram, Bengaluru, Karnataka 560036, India",+91 95131 23456,,4.8,Not Contacted,,,,,,
"YV HOMES - House construction company in Bangalore, Turnkey house construction company in Bangalore, best home builders",Builder,"No 1240, GS Arcade, Vidyaranyapura Main Rd, BEL Layout 2nd Block, BEL Layout, Vidyaranyapura, Bengaluru, Karnataka 560097, India",+91 97405 48088,https://yvhomes.in/,4.9,Not Contacted,,,,,,
"OM Shakti Best Building Contractors in Bangalore, New House Construction, Renovation, Plumbing, Electrical Work and Painting",Builder,"6th Cross Rd, Balaji Nagar, Ittamadu, Naidu Layout, Chikkalasandra, Bengaluru, Karnataka 560085, India",+91 90088 90476,https://www.omshakti.com/,4.5,Not Contacted,,,,,,
Reliable Consultants and Constructions,Builder,"2nd Floor, 194, Hesarghatta Rd, opp. Sapthagiri Hospital, AGB layout, Geleyara Balaga Layout, Chikkabanavara, Bengaluru, Karnataka 560090, India",+91 76766 40502,https://www.rccbengaluru.com/,4.8,Not Contacted,,,,,,
India Builders Corporation,Builder,"Block Tower B, Diamond District, B9, Corporate, # 150, HAL Old Airport Rd, Bengaluru, Karnataka 560008, India",+91 97390 02711,http://www.ibc.co.in/,4.6,Not Contacted,,,,,,
Royallinks Constructions Bangalore,Builder,"First Floor 3rd Sector, No: 765,16th Main, 22nd Cross Rd, near HSR Club, HSR Layout, Bengaluru, Karnataka 560102, India",+91 99806 43040,https://www.royallinks.in/,4.4,Not Contacted,,,,,,
Buildhood Infratech Pvt Ltd | Builders | Best Home Construction Company,Builder,"107, 1st Floor, Brigade Arcade, Whitefield Rd, Brigade Metropolis, Garudachar Palya, Bengaluru, Karnataka 560048, India",+91 78028 08080,https://www.buildhood.com/,4.8,Not Contacted,,,,,,
Grand Jyothi Constructions,Builder,"96/1, 3rd Floor, SLV Tower 2nd Main Road, 31st Cross Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560070, India",+91 99010 37272,http://grandjyothiconstruction.com/,4.8,Not Contacted,,,,,,
RNS Infrastructure Limited,Builder,"7th floor, Naveen Complex, 14, Mahatma Gandhi Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001, India",+91 80 4289 7000,http://rnsil.com/about-us.php,4.1,Not Contacted,,,,,,
"Manstonez Construction Company in Bangalore, Architects, Interior Designers in Bangalore",Builder,"Lakshmi Plaza 1st floor 416 5th Cross Outer Ring Road, Service Rd, Babusabpalya, Bengaluru, Karnataka 560043, India",+91 84958 88895,https://manstonez.in/,4.9,Not Contacted,,,,,,
Brickmark constructions | Best construction company in Bangalore,Builder,"48/2 2nd floor KC das building Church Street, St Mark's Rd, Bengaluru, Karnataka 560001, India",+91 76768 95443,https://brickmark.in/,5.0,Contacted,,,2026-07-09,,,
PE-Realtors,Real Estate Agent,"No.2932/A New Corporation No.8 , Second Floor 14th Main Road, R.P.C layout, Attiguppe, Vijayanagar, Bengaluru, Karnataka 560040, India",+91 63640 03399,http://www.perealtors.com/,4.8,Not Contacted,,,,,,
Top Real estate agency jayanagar,Real Estate Agent,"126, New Diagonal Rd, near Maiyas Beverages And Foods Private Limited, 4th Block, Jayanagar, Bengaluru, Karnataka 560011, India",+91 70194 38212,,4.8,Not Contacted,,,,,,
Square Feet Realtors,Real Estate Agent,"Vasundhra Complex, 209, 7th Main Rd, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",+91 98450 76840,https://www.squarefeetrealtors.in/,4.4,Not Contacted,,,,,,
PLANETS PROPERTIES | Real Estate Property advisory company in Bangalore.,Real Estate Agent,"2nd Floor, 357/4, Begur - Hulimavu Rd, opp. DLF Westend Heights Apartments, Classic Paradise Layout, Akshayanagar, Bengaluru, Karnataka 560114, India",+91 80887 88077,,4.6,Not Contacted,,,,,,
Mukesh Realtors,Real Estate Agent,"Shanti Nivas, 51, 7th Cross, chinapanahalli, Doddanekundi, Ext, Doddanekkundi, Bengaluru, Karnataka 560037, India",+91 80882 94606,,4.2,Not Contacted,,,,,,
Ilias Estates & Properties,Real Estate Agent,"No. 84, ""Barton Center"", Unit No. 606, 6th Floor,M.G. Road, Bengaluru 560 001. Telephone, Bengaluru, 560001, India",+91 98805 12703,,4.9,Not Contacted,,,,,,
Feroze estate agency - Furnished office space for rent in bangalore,Real Estate Agent,"Reliance Digital, 74, 1st floor unit 1 Prestige feroze, Landmark, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560001, India",+91 98450 18800,http://www.ferozes.com/,4.2,Not Contacted,,,,,,
Inbengaluru Properties,Real Estate Agent,"2 nd, 79/2, Nandi Durga Rd, above Apollo Pharmacy, Floor, Jayamahal, Bengaluru, Karnataka 560046, India",+91 96865 47123,http://www.inbengaluruproperties.com/,4.8,Not Contacted,,,,,,
Kimia Realty Office Space In Bangalore - Warehouse Space In Bangalore,Real Estate Agent,"51, Infantry Rd, above Linen Club, opposite Gulistan Shadi Mahal, Shivaji Nagar, Bengaluru, Karnataka 560001, India",+91 98453 08005,http://kimiarealty.com/,5.0,Contacted,,,2026-06-25,,,
"Settlin, Property Consultancy",Real Estate Agent,"Ground Floor, EBC Space 2, 19th Main Rd, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",+91 95900 39003,https://settlin.in/,4.6,Not Contacted,,,,,,
Nippon Realtors Bangalore,Real Estate Agent,"second floor, 24/1, 100 Feet Rd, HRBR Layout 1st Block, Balaji Layout, Subbaiahnapalya, Banaswadi, Bengaluru, Karnataka 560043, India",,http://www.nipponrealtorsbangalore.com/,5.0,Not Contacted,,,,,,
Sri Sai Estate Agency,Real Estate Agent,"No.06, 80ft Road, Anjanapura Village, 3rd block, J. P. Nagar, Bengaluru, Karnataka 560108, India",+91 99029 29981,http://srisaiestateagency.com/,4.9,Not Contacted,,,,,,
RVS Enterprise Real Estate promoters,Real Estate Agent,"25th Cross near kaggadhaspura main road cvraman nagar Bangalore 560093 Bangalore, Karnataka 560093, India",+91 95354 09866,,4.8,Not Contacted,,,,,,
SHANKAR REAL ESTATE AGENCY,Real Estate Agent,"21, 50 FEET MAIN ROAD, NGEF Layout, Sachidananda Nagar, Raj Mahal Vilas 2nd Stage, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094, India",+91 98451 69306,https://shankarrealestate.com/,4.3,Not Contacted,,,,,,
Channakeshava Enterprise Real Estate Agents,Real Estate Agent,"1, Sir M. Visvesvaraya Rd, Sarvabhoumanagar, Sundar Ram Shetty Nagar, Bilekahalli, Bengaluru, Karnataka 560076, India",+91 98453 22000,,4.9,Not Contacted,,,,,,
Anugraha Associates Real Estate,Real Estate Agent,"150/1, 8th Cross, 2nd Main Rd, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037, India",+91 99011 00905,,4.9,Not Contacted,,,,,,
New Karnataka Real Estate Agency,Real Estate Agent,"Anjanadri layout, 187, 1st main cross road, Sinthan Nagar, Unity Nagar, Rachenahalli, Thanisandra, Bengaluru, Karnataka 560077, India",+91 80888 98178,https://newkarnatakarealestatemna.com/,5.0,Contacted,,,2026-06-25,,,
BrokerInBlue - Professional Real Estate Brokers,Real Estate Agent,"#82, 80 Feet Rd, KGE Layout, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094, India",+91 77609 47777,https://brokerinblue.com/,4.7,Not Contacted,,,,,,
Roof 360 Real Estate and Properties,Real Estate Agent,"No. 68/1, 2nd Floor, Coles Rd, Cleveland Town, Frazer Town, Bengaluru, Karnataka 560005, India",+91 98450 22178,http://www.roof360.in/,4.9,Not Contacted,,,,,,
MR Real Estate,Real Estate Agent,"39b, 18th A Main Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102, India",+91 87480 01723,,4.8,Not Contacted,,,,,,
The Bangalore Real Estate Co.,Real Estate Agent,"Suite 2B, Redifice Signature, 6, Bowring Hospital Rd, Tasker Town, Sampangi Rama Nagar, Bengaluru, Karnataka 560001, India",+91 80 4945 7777,http://www.blrrealestate.com/,4.8,Not Contacted,,,,,,
MaiSai Realty - Real estate agency,Real Estate Agent,"457, 1st Floor, 5th Main Rd, HIG, Dollars Colony, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094, India",+91 80502 76328,https://maisairealty.com/,4.8,Not Contacted,,,,,,
Friendly Realtors and Property Management,Real Estate Agent,"19/8, Davis Rd, Balaji Layout, Cooke Town, Bengaluru, Karnataka 560084, India",+91 99015 55100,https://www.friendlyrealtors.in/,4.8,Not Contacted,,,,,,
Shah Real Estate,Real Estate Agent,"5/1 Ali Manzil 20th h cross Ejipura, Koramangala, Bengaluru, Karnataka 560047, India",,,4.9,Not Contacted,,,,,,
M C Reddy Real Estates,Real Estate Agent,"No:8, Garuda Grand Apartment, 5th Main Road, Kalkere Main Rd, behind Bible Society, near Barath Petrol Bunk, Rajkumar Layout, Horamavu, Bengaluru, Karnataka 560113, India",+91 94481 31904,http://www.fb.com/MCreddyRE,4.7,Not Contacted,,,,,,
New Door Venture | Real Estate Consultants in Bangalore,Real Estate Agent,"516, SOL ARCADE 8th Cross Phase 1 80ft, Jakkur Road, MCECHS Layout, Bengaluru, Karnataka 560077, India",+91 96866 07663,https://www.newdoorventures.in/,4.9,Not Contacted,,,,,,
Agarwal Estates,Real Estate Agent,"No.9, CRM Soubhagya Annexe, #35, 1B, Varthur Main Rd, near Spice Garden, Lakshminarayana Pura, Marathahalli, Bengaluru, Karnataka 560037, India",+91 81233 01122,https://agarwalestates.com/,4.6,Not Contacted,,,,,,
S B Real Estate,Real Estate Agent,"#12, 2nd Cross Rd, Thimmareddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka 560075, India",+91 89512 37776,,4.9,Not Contacted,,,,,,
Sri Balaji Real Estate,Real Estate Agent,"No. 1, 1st cross, 1st main Ashwini Layout, Ejipura, Koramangala, Bengaluru, Karnataka 560047, India",+91 99022 09306,,4.8,Not Contacted,,,,,,
Coldwell Banker Value Add Realty,Real Estate Agent,"3rd Floor, Raghavendra Swamy Mutt, 38, 10th Main Rd, above Duroflex, near Sri, 5th Block, Jayanagar, Bengaluru, Karnataka 560041, India",+91 99020 66670,https://buywithcb.in/,4.8,Not Contacted,,,,,,
Dreams Realty,Real Estate Agent,"8, 2nd floor, Nandi Infotech above SBI Bank 1st Main road, ITPL Main Rd, Whitefield, Bengaluru, Karnataka 560048, India",,https://dreamsrealty.co.in/,4.8,Not Contacted,,,,,,
Premier Real Estate Services,Real Estate Agent,"No.645, 3rd floor, 12th Cross, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",+91 84477 86500,http://premier-realestate.in/,4.8,Not Contacted,,,,,,
